MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2019-2020_Liverpool_Norwich,2019-2020,1,2019-08-09,20:00,Liverpool,Norwich,4,1,H,4.0,0.0,H,M Oliver,15.0,12.0,7.0,5.0,11.0,2.0,9.0,9.0,0.0,2.0,0.0,0.0,1.14,10.0,19.0,1.4,3.0,1.16,10.0,23.0,1.14,8.75,19.83,1.45,3.11,1.41,2.92,3,0
2019-2020_West Ham_Man City,2019-2020,1,2019-08-10,12:30,West Ham,Man City,0,5,A,0.0,1.0,A,M Dean,5.0,14.0,3.0,9.0,1.0,1.0,6.0,13.0,2.0,2.0,0.0,0.0,12.0,6.5,1.22,1.44,2.75,13.0,6.75,1.29,11.84,6.28,1.25,1.51,2.77,1.48,2.65,0,3
2019-2020_Bournemouth_Sheffield United,2019-2020,1,2019-08-10,15:00,Bournemouth,Sheffield United,1,1,D,0.0,0.0,D,K Friend,13.0,8.0,3.0,3.0,3.0,4.0,10.0,19.0,2.0,1.0,0.0,0.0,1.95,3.6,3.6,1.9,1.9,2.06,3.65,4.0,2.01,3.53,3.83,2.0,1.99,1.9,1.93,1,1
2019-2020_Burnley_Southampton,2019-2020,1,2019-08-10,15:00,Burnley,Southampton,3,0,H,0.0,0.0,D,G Scott,10.0,11.0,4.0,3.0,2.0,7.0,6.0,12.0,0.0,0.0,0.0,0.0,2.62,3.2,2.75,2.1,1.72,2.8,3.33,2.85,2.68,3.22,2.78,2.2,1.78,2.12,1.73,3,0
2019-2020_Crystal Palace_Everton,2019-2020,1,2019-08-10,15:00,Crystal Palace,Everton,0,0,D,0.0,0.0,D,J Moss,6.0,10.0,2.0,3.0,6.0,2.0,16.0,14.0,2.0,1.0,0.0,1.0,3.0,3.25,2.37,2.2,1.66,3.21,3.4,2.52,3.13,3.27,2.4,2.25,1.74,2.18,1.7,1,1
2019-2020_Watford_Brighton,2019-2020,1,2019-08-10,15:00,Watford,Brighton,0,3,A,0.0,1.0,A,C Pawson,11.0,5.0,3.0,3.0,5.0,2.0,15.0,11.0,0.0,1.0,0.0,0.0,1.9,3.4,4.0,2.1,1.72,2.0,3.5,4.6,1.94,3.41,4.26,2.24,1.76,2.16,1.71,0,3
2019-2020_Tottenham_Aston Villa,2019-2020,1,2019-08-10,17:30,Tottenham,Aston Villa,3,1,H,0.0,1.0,A,C Kavanagh,31.0,7.0,7.0,4.0,14.0,0.0,13.0,9.0,1.0,0.0,0.0,0.0,1.3,5.25,10.0,1.66,2.2,1.33,5.95,12.0,1.3,5.53,10.51,1.7,2.4,1.65,2.26,3,0
2019-2020_Leicester_Wolves,2019-2020,1,2019-08-11,14:00,Leicester,Wolves,0,0,D,0.0,0.0,D,A Marriner,15.0,8.0,1.0,2.0,12.0,3.0,3.0,13.0,0.0,2.0,0.0,0.0,2.2,3.2,3.4,2.2,1.66,2.29,3.38,3.66,2.22,3.28,3.48,2.25,1.74,2.17,1.7,1,1
2019-2020_Newcastle_Arsenal,2019-2020,1,2019-08-11,14:00,Newcastle,Arsenal,0,1,A,0.0,0.0,D,M Atkinson,9.0,8.0,2.0,2.0,5.0,3.0,12.0,7.0,1.0,3.0,0.0,0.0,4.5,3.75,1.72,1.8,2.0,4.7,4.0,1.83,4.49,3.82,1.79,1.83,2.14,1.77,2.07,0,3
2019-2020_Man United_Chelsea,2019-2020,1,2019-08-11,16:30,Man United,Chelsea,4,0,H,1.0,0.0,H,A Taylor,11.0,18.0,5.0,7.0,3.0,5.0,15.0,13.0,3.0,4.0,0.0,0.0,2.1,3.3,3.5,2.0,1.8,2.28,3.43,3.63,2.19,3.32,3.49,2.1,1.87,2.01,1.83,3,0
2019-2020_Arsenal_Burnley,2019-2020,2,2019-08-17,12:30,Arsenal,Burnley,2,1,H,1.0,1.0,D,M Dean,16.0,18.0,9.0,5.0,10.0,7.0,13.0,11.0,2.0,1.0,0.0,0.0,1.3,5.5,10.0,1.57,2.37,1.36,5.75,11.0,1.33,5.49,9.48,1.65,2.47,1.6,2.34,3,0
2019-2020_Aston Villa_Bournemouth,2019-2020,2,2019-08-17,15:00,Aston Villa,Bournemouth,1,2,A,0.0,2.0,A,M Atkinson,22.0,12.0,7.0,4.0,10.0,5.0,10.0,13.0,0.0,2.0,0.0,0.0,2.3,3.4,3.1,1.8,2.0,2.42,3.64,3.2,2.33,3.49,3.08,1.86,2.11,1.81,2.03,0,3
2019-2020_Brighton_West Ham,2019-2020,2,2019-08-17,15:00,Brighton,West Ham,1,1,D,0.0,0.0,D,A Taylor,16.0,8.0,4.0,3.0,8.0,6.0,11.0,10.0,0.0,2.0,0.0,0.0,2.55,3.25,2.87,1.9,1.9,2.65,3.42,3.0,2.52,3.33,2.9,2.0,1.94,1.95,1.87,1,1
2019-2020_Everton_Watford,2019-2020,2,2019-08-17,15:00,Everton,Watford,1,0,H,1.0,0.0,H,L Mason,12.0,8.0,2.0,2.0,4.0,7.0,11.0,11.0,2.0,3.0,0.0,0.0,1.72,3.8,4.75,1.72,2.1,1.8,4.05,5.2,1.73,3.9,4.86,1.86,2.2,1.79,2.05,3,0
2019-2020_Norwich_Newcastle,2019-2020,2,2019-08-17,15:00,Norwich,Newcastle,3,1,H,1.0,0.0,H,S Attwell,15.0,10.0,8.0,3.0,7.0,5.0,9.0,11.0,1.0,3.0,0.0,0.0,2.25,3.3,3.3,1.9,1.9,2.3,3.5,3.5,2.23,3.38,3.38,2.05,1.93,1.95,1.88,3,0
2019-2020_Southampton_Liverpool,2019-2020,2,2019-08-17,15:00,Southampton,Liverpool,1,2,A,0.0,1.0,A,A Marriner,14.0,15.0,3.0,6.0,5.0,9.0,10.0,6.0,2.0,1.0,0.0,0.0,6.5,4.75,1.44,1.66,2.2,7.5,4.9,1.52,6.77,4.67,1.47,1.7,2.38,1.64,2.28,0,3
2019-2020_Man City_Tottenham,2019-2020,2,2019-08-17,17:30,Man City,Tottenham,2,2,D,2.0,1.0,H,M Oliver,30.0,3.0,10.0,2.0,13.0,2.0,14.0,4.0,1.0,0.0,0.0,0.0,1.36,5.25,8.0,1.53,2.5,1.4,5.5,9.0,1.36,5.32,8.46,1.56,2.69,1.52,2.55,1,1
