MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2023-2024_Burnley_Man City,2023-2024,1,2023-08-11,20:00,Burnley,Man City,0,3,A,0.0,2.0,A,C Pawson,6.0,17.0,1.0,8.0,6.0,5.0,11.0,8.0,0.0,0.0,1.0,0.0,8.0,5.5,1.33,1.67,2.2,9.5,5.68,1.39,9.02,5.35,1.35,1.71,2.4,1.65,2.27,0,3
2023-2024_Arsenal_Nott'm Forest,2023-2024,1,2023-08-12,12:30,Arsenal,Nott'm Forest,2,1,H,2.0,0.0,H,M Oliver,15.0,6.0,7.0,2.0,8.0,3.0,12.0,12.0,2.0,2.0,0.0,0.0,1.18,7.0,15.0,1.44,2.75,1.21,8.5,17.5,1.18,7.64,15.67,1.45,2.98,1.42,2.85,3,0
2023-2024_Bournemouth_West Ham,2023-2024,1,2023-08-12,15:00,Bournemouth,West Ham,1,1,D,0.0,0.0,D,P Bankes,14.0,16.0,5.0,3.0,10.0,4.0,9.0,14.0,1.0,4.0,0.0,0.0,2.7,3.4,2.55,1.9,2.0,2.8,3.62,2.75,2.69,3.44,2.64,1.95,2.03,1.88,1.94,1,1
2023-2024_Brighton_Luton,2023-2024,1,2023-08-12,15:00,Brighton,Luton,4,1,H,1.0,0.0,H,D Coote,27.0,9.0,12.0,3.0,6.0,7.0,11.0,12.0,2.0,2.0,0.0,0.0,1.33,5.5,9.0,1.62,2.3,1.36,6.0,10.5,1.33,5.52,9.61,1.65,2.45,1.61,2.34,3,0
2023-2024_Everton_Fulham,2023-2024,1,2023-08-12,15:00,Everton,Fulham,0,1,A,0.0,0.0,D,S Attwell,19.0,9.0,9.0,2.0,10.0,4.0,12.0,6.0,0.0,2.0,0.0,0.0,2.2,3.4,3.3,2.01,1.89,2.3,3.57,3.45,2.24,3.43,3.3,2.04,1.92,1.97,1.86,0,3
2023-2024_Sheffield United_Crystal Palace,2023-2024,1,2023-08-12,15:00,Sheffield United,Crystal Palace,0,1,A,0.0,0.0,D,J Brooks,8.0,24.0,1.0,8.0,5.0,5.0,18.0,11.0,3.0,0.0,0.0,0.0,3.0,3.3,2.38,2.2,1.67,3.31,3.42,2.48,3.12,3.24,2.41,2.28,1.74,2.21,1.68,0,3
2023-2024_Newcastle_Aston Villa,2023-2024,1,2023-08-12,17:30,Newcastle,Aston Villa,5,1,H,2.0,1.0,H,A Madley,17.0,16.0,13.0,6.0,6.0,5.0,12.0,17.0,4.0,4.0,0.0,0.0,1.75,3.75,4.6,1.73,2.1,1.8,4.1,4.9,1.76,3.88,4.61,1.82,2.15,1.76,2.09,3,0
2023-2024_Brentford_Tottenham,2023-2024,1,2023-08-13,14:00,Brentford,Tottenham,2,2,D,2.0,2.0,D,R Jones,11.0,18.0,6.0,6.0,3.0,6.0,12.0,13.0,1.0,4.0,0.0,0.0,2.75,3.4,2.45,1.73,2.1,2.85,3.83,2.6,2.73,3.63,2.5,1.76,2.25,1.7,2.18,1,1
2023-2024_Chelsea_Liverpool,2023-2024,1,2023-08-13,16:30,Chelsea,Liverpool,1,1,D,1.0,1.0,D,A Taylor,10.0,13.0,4.0,1.0,4.0,4.0,5.0,12.0,3.0,3.0,0.0,0.0,2.9,3.4,2.38,1.67,2.2,3.05,3.82,2.48,2.87,3.64,2.39,1.73,2.36,1.67,2.24,1,1
2023-2024_Man United_Wolves,2023-2024,1,2023-08-14,20:00,Man United,Wolves,1,0,H,0.0,0.0,D,S Hooper,15.0,23.0,3.0,6.0,8.0,7.0,14.0,10.0,2.0,3.0,0.0,0.0,1.33,5.5,9.0,1.62,2.3,1.34,6.0,11.0,1.31,5.65,9.85,1.64,2.47,1.6,2.38,3,0
